TARIH,BIST Getiri (TL),Aylık % Değişim,Bloomberg Tüketici Güven Endeksi,Aylık % Değişim,İmalat Kapasite Kullanım Oranı,Aylık % Değişim,İşsizlik Oranı,Aylık % Değişim,Reel Döviz Kuru,Aylık % Değişim,Sanayi Üretim Endeksi,Aylık % Değişim,TUIK Tüketici Güven endeksi,Aylık % Değişim,USD Kur,Aylık % Değişim,Enflasyon Oranı,Aylık % Değişim
12/28/2001,"15332,15",,,,"  73,30    ",,"8,4",,"123,73",,"89,40",,,,"1,4396",,"3,2",
1/31/2002,"14742,08","-3,85%",,,"  73,90    ","0,82%","8,4","0,00%","87,09","-29,61%","91,20","2,01%",,,"1,3208","-8,25%","5,3","65,63%"
2/28/2002,"12298,49","-16,58%",,,"  71,00    ","-3,92%","8,4","0,00%","97,57","12,04%","85,80","-5,92%",,,"1,3993","5,94%","1,8","-66,04%"
3/29/2002,"12992,37","5,64%",,,"  75,30    ","6,06%","8,4","0,00%","101,69","4,22%","104,40","21,68%",,,"1,3325","-4,78%","1,2","-33,33%"
4/30/2002,"12789,71","-1,56%",,,"  73,80    ","-1,99%","8,4","0,00%","103,64","1,91%","103,50","-0,86%",,,"1,3315","-0,08%","2,1","75,00%"
5/31/2002,"11718,54","-8,38%",,,"  75,70    ","2,57%","8,4","0,00%","107,68","3,90%","107,60","3,96%",,,"1,4129","6,12%","0,6","-71,43%"
6/28/2002,"10555,23","-9,93%",,,"  76,40    ","0,92%","8,4","0,00%","99,89","-7,23%","103,90","-3,44%",,,"1,6027","13,44%","0,6","0,00%"
7/31/2002,"11519,09","9,13%",,,"  77,50    ","1,44%","8,4","0,00%","89,04","-10,87%","107,10","3,08%",,,"1,6819","4,94%","1,4","133,33%"
8/29/2002,"10748,18","-6,69%",,,"  76,40    ","-1,42%","8,4","0,00%","80,57","-9,50%","104,60","-2,33%",,,"1,6258","-3,33%","2,2","57,14%"
9/30/2002,"9960,43","-7,33%",,,"  79,70    ","4,32%","8,4","0,00%","84,02","4,28%","111,70","6,79%",,,"1,6487","1,41%","3,5","59,09%"
10/31/2002,"11548,38","15,94%",,,"  80,40    ","0,88%","8,4","0,00%","86,26","2,67%","110,80","-0,81%",,,"1,6702","1,30%","3,3","-5,71%"
11/29/2002,"14982,37","29,74%",,,"  77,20    ","-3,98%","8,4","0,00%","89,11","3,30%","106,60","-3,79%",,,"1,5435","-7,59%","2,9","-12,12%"
12/31/2002,"11681,31","-22,03%",,,"  76,50    ","-0,91%","8,4","0,00%","92,63","3,95%","102,90","-3,47%",,,"1,6345","5,90%","1,6","-44,83%"
1/31/2003,"12427,14","6,38%",,,"  74,90    ","-2,09%","10,3","22,62%","93,90","1,37%","106,60","3,60%",,,"1,6422","0,47%","2,6","62,50%"
2/28/2003,"13038,15","4,92%",,,"  71,90    ","-4,01%","10,3","0,00%","89,26","-4,94%","89,30","-16,23%",,,"1,6028","-2,40%","2,30","-11,54%"
3/31/2003,"10698,73","-17,94%",,,"  78,30    ","8,90%","10,3","0,00%","91,43","2,43%","111,70","25,08%",,,"1,7082","6,58%","1,96","-14,78%"
4/30/2003,"13094,61","22,39%",,,"  75,90    ","-3,07%","10,3","0,00%","91,19","-0,26%","105,50","-5,55%",,,"1,5824","-7,36%","0,99","-49,49%"
5/30/2003,"13008,63","-0,66%",,,"  78,70    ","3,69%","10,3","0,00%","93,43","2,46%","110,80","5,02%",,,"1,4347","-9,34%","0,96","-3,03%"
6/30/2003,"12440,58","-4,37%",,,"  80,10    ","1,78%","10,3","0,00%","99,08","6,05%","113,10","2,08%",,,"1,4217","-0,90%","0,08","-91,67%"
7/31/2003,"12083,53","-2,87%",,,"  79,80    ","-0,37%","10,3","0,00%","103,12","4,08%","118,00","4,33%",,,"1,4218","0,01%","-0,19","-337,50%"
8/29/2003,"13275,23","9,86%",,,"  79,30    ","-0,63%","10,3","0,00%","106,31","3,09%","114,70","-2,80%",,,"1,4010","-1,47%","0,16","-184,21%"
9/30/2003,"14926,15","12,44%",,,"  83,50    ","5,30%","10,3","0,00%","107,59","1,20%","124,20","8,28%",,,"1,3767","-1,73%","1,35","743,75%"
10/31/2003,"18011,14","20,67%",,,"  80,50    ","-3,59%","10,3","0,00%","110,37","2,58%","122,50","-1,37%",,,"1,4914","8,33%","0,92","-31,85%"
11/20/2003,"16711,48","-7,22%",,,"  79,40    ","-1,37%","10,3","0,00%","104,18","-5,61%","108,60","-11,35%",,,"1,4648","-1,79%","1,27","38,04%"
12/31/2003,"21293,04","27,42%",,,"  79,40    ","0,00%","10,3","0,00%","102,04","-2,05%","123,50","13,72%",,,"1,3958","-4,71%","0,43","-66,14%"
1/30/2004,"19731,63","-7,33%","126,71","0,00%","  77,20    ","-2,77%","10,3","0,00%","102,02","-0,02%","112,20","-9,15%","98,2","0,00%","1,3332","-4,49%","0,66","53,49%"
2/27/2004,"21595,07","9,44%","126,32","-0,30%","  73,50    ","-4,79%","10,5","1,94%","106,79","4,68%","102,40","-8,73%","98,7","0,51%","1,3239","-0,70%","0,52","-21,21%"
3/31/2004,"23156,92","7,23%","119,66","-5,27%","  82,10    ","11,70%","10,5","0,00%","108,16","1,28%","125,60","22,66%","97,8","-0,91%","1,3113","-0,95%","0,96","84,62%"
4/30/2004,"20808,67","-10,14%","130,05","8,68%","  76,50    ","-6,82%","10,5","0,00%","111,63","3,21%","122,20","-2,71%","97,8","0,00%","1,4401","9,83%","0,49","-48,96%"
5/31/2004,"19817,8","-4,76%","113,00","-13,11%","  84,30    ","10,20%","10,5","0,00%","110,13","-1,34%","129,60","6,06%","94,0","-3,83%","1,4853","3,14%","0,44","-10,20%"
6/30/2004,"20930,33","5,61%","117,33","3,83%","  85,30    ","1,19%","10,5","0,00%","99,66","-9,51%","131,00","1,08%","93,4","-0,67%","1,4859","0,04%","-0,14","-131,82%"
7/30/2004,"22576,62","7,87%","126,44","7,76%","  83,90    ","-1,64%","10,5","0,00%","99,29","-0,37%","132,40","1,07%","92,2","-1,32%","1,4683","-1,18%","0,47","-435,71%"
8/31/2004,"23562,7","4,37%","114,73","-9,26%","  81,40    ","-2,98%","10,5","0,00%","101,73","2,46%","124,00","-6,34%","88,0","-4,50%","1,4972","1,97%","0,77","63,83%"
9/30/2004,"25584,85","8,58%","117,80","2,68%","  84,30    ","3,56%","10,5","0,00%","101,54","-0,19%","130,80","5,48%","89,6","1,82%","1,4977","0,03%","0,94","22,08%"
10/28/2004,"26687,76","4,31%","125,51","6,54%","  82,40    ","-2,25%","10,5","0,00%","100,06","-1,46%","123,50","-5,58%","90,5","0,96%","1,4702","-1,84%","2,24","138,30%"
11/30/2004,"26205,64","-1,81%","121,15","-3,47%","  83,50    ","1,33%","10,5","0,00%","101,47","1,41%","118,10","-4,37%","89,5","-1,11%","1,4194","-3,45%","1,32","-41,07%"
12/29/2004,"29102,25","11,05%","123,93","2,29%","  84,00    ","0,60%","10,5","0,00%","102,43","0,95%","128,60","8,89%","91,9","2,76%","1,3420","-5,45%","0,32","-75,76%"
1/31/2005,"31851,07","9,45%","133,22","7,50%","  76,60    ","-8,81%","10,4","-0,95%","107,28","4,73%","72,11","-43,93%","92,2","0,28%","1,3290","-0,97%","0,55","71,88%"
2/28/2005,"33093,19","3,90%","124,89","-6,25%","  77,10    ","0,65%","10,4","0,00%","110,74","3,23%","74,05","2,69%","92,0","-0,23%","1,2890","-3,01%","0,02","-96,36%"
3/31/2005,"29921,77","-9,58%","115,57","-7,46%","  80,50    ","4,41%",10,"-3,85%","109,66","-0,98%","84,83","14,56%","88,8","-3,44%","1,3710","6,36%","0,26","1200,00%"
4/29/2005,"27695,16","-7,44%","111,14","-3,83%","  79,80    ","-0,87%","9,3","-7,00%","107,49","-1,98%","81,82","-3,55%","87,1","-1,91%","1,3730","0,15%","0,71","173,08%"
5/31/2005,"30212,56","9,09%","113,60","2,21%","  81,30    ","1,88%","8,8","-5,38%","108,58","1,01%","85,36","4,33%","87,1","-0,02%","1,3660","-0,51%","0,92","29,58%"
6/30/2005,"32273,41","6,82%","116,53","2,58%","  81,40    ","0,12%","8,7","-1,14%","112,76","3,85%","88,12","3,23%","85,8","-1,48%","1,3410","-1,83%","0,10","-89,13%"
